tag,Card,Offer,Valid Till,Quotas,Valid On,Other Conditions,link
bms,"Canara Bank Credit Card","Buy One ticket and Get One Free upto INR200 & Flat INR50 Off on Food & Combos (FnB)","30-Sep-2024 23:59","Limited Quota","Web & App","( For BOGO Offer, the customer will get a max discount upto INR200/- on max 1 ticket only. In case the price of ticket is more than INR200, the difference amount shall be paid by the cardholder using his Canara Bank Credit Card which is being used to avail the offer.) Minimum 2 tickets needs to be booked to avail the offer Offer can be availed once in a calendar month per card on Movies/Non-Movies. Offer valid on all days of the week","https://in.bookmyshow.com/offers/canara-bank-credit-card-offer/CANARA0624"
bms,"Bank of India RuPay Select Credit Card","flat INR250 discount once in a calendar month per card on Movies/Non-movies","31-Dec-2024 23:59","No Quota","Web & App","Eligible BIN for Bank of India RuPay Select Credit Card is 652867 Customers transacting on BMS using Bank of India RuPay Platinum Credit Card Offer will be eligible flat INR250 discount once in per quarter per card on Movies/Non-movies Eligible BIN for Bank of India RuPay Platinum Credit Card is 652968 Minimum 2 tickets need to be booked to avail the offer. Offer valid on all days of the week","https://in.bookmyshow.com/offers/bank-of-india-rupay-credit-card-offer/BOICC1023"
bms,"Amplifi Fi-Federal Credit Card","Buy One ticket and Get One Free upto INR 200","31-Aug-2024 23:59","No Quota","Web & App","Customers can avail only 1 free ticket in a single transaction upto INR200. The Maximum number of transactions in which discount can be availed is once for each card in a calendar month. Customer can avail the offer once per card in a calendar month during the offer duration. In order to avail the offer, a minimum of two tickets needs to be booked. One ticket will be discounted once the offer is applied. Offer valid on all days of the week. The offer is valid only on Amplifi Fi-Federal credit cards issued by Federal Bank in partnership with Fi Brand Pvt Ltd. Amplifi Fi-Federal credit card starts with 46673000","https://in.bookmyshow.com/offers/amplifi-fi-federal-credit-card-offer/FICC0322"
bms,"MagniFi Fi Federal Credit Card","20% Off upto INR100 on a minimum transaction value of INR400. Max discount is INR100/-","31-Mar-2025 23:59","No Quota","Web & App","This offer can be availed once in a calendar month per card user as per the eligibility. Offer is valid Movies, Events, Concerts, Plays, Sports, Activities. Excluding BMS Stream and FnB Offer can be availed only on Saturday & Sunday for shows/Events on any day of the week Transaction day should be Saturday/Sunday, Show/Event day can be any day of the week The offer is valid only on MagniFi Fi Federal Credit Card issued by Federal Bank in partnership with Fi Brand Pvt Ltd. MagniFi Fi Federal credit card start with 46673002.","https://in.bookmyshow.com/offers/magnifi-fi-federal-credit-card-offer/MGNFI0224"
bms,"Simplifi Fi Federal Credit Card","20% Off upto INR150 on a minimum transaction value of INR500. Max discount is INR150/-","31-Dec-2024 23:59","No Quota","Web & App","This offer can be availed once in a calendar month per card user on events ONLY as per the eligibility. Offer is valid on Events. Excluding Movies, BMS Stream and F&B Offer can be availed only on Saturday & Sunday for shows/Events on any day of the week Transaction day should be Saturday/Sunday, Show/Event day can be any day of the week The offer is valid only on Simplifi Fi Federal credit card issued by Federal Bank in partnership with Fi Brand Pvt Ltd. Simplifi Fi Federal credit card start with 40339900.","https://in.bookmyshow.com/offers/simplifi-fi-federal-credit-card-weekend-offer/SMPLF1223"
bms,"Axis Bank Neo Credit Card","Get 10% off up to Rs 100 on your transaction","31-Mar-2025 23:59","No Quotas","Web & App","Get 10% off up to Rs 100 on your transaction with your IndianOil Axis Bank Credit Card Offer valid till 31st March, 2025","https://in.bookmyshow.com/offers/axis-bank-neo-and-indian-oil-credit-card-offer/AXSIN0324"
bms,"RBL Bank supercard Credit Card","Buy One Get One free upto INR200","31-Oct-2024 23:59","Limited","Web & App","Proceed to payments page Confirm your details by providing your email id & mobile number as this information will be used for confirming your transaction To avail offer, check ""Unlock Offer or Apply Promocodes"" Click on the tab - Credit/ Debit/ Net Banking Click on “Select Offer” and choose ""RBL Bank supercard offer"" from the offers drop down list Enter your 16 digit credit card number in the box and click on “Check” Congratulations! You would have successfully availed your offer You will have to pay the remaining transaction amount using the same card on which you have availed the offer Your card number will auto populate in the box. To make the payment, enter your name on the card, expiry date and CVV card details","https://in.bookmyshow.com/offers/rbl-bank-supercard-offer/RBL0117"
bms,"IDBI Bank Credit Cards","Get 25% Off upto INR 300 on total ticket cost","31-Aug-2024 23:59","Limited","Web & App","This offer can be availed once in a calendar month per card per user. Offer is valid on Movies, Events, Concerts, Plays, Sports and Activities. Offer is not applicable on BMS Stream and F&B Offer is valid till 31st Aug 2024","https://in.bookmyshow.com/offers/idbi-bank-credit-card-offer/IDBICC0623"
bms,"IDFC FIRST Bank Ashva Credit Card","Buy One ticket and Get One Free upto INR400","31-Mar-2025 23:59","N/A","Web & App","Offer can be availed twice per card user in a calendar month on Movies. The customer will get a max discount upto INR400 on max 1 ticket in a single transaction. 2 discounted transactions in a month per card per user for IDFC FIRST Bank Ashva Credit Cards. In case the price of ticket is more than INR400, the difference amount shall be paid by the cardholder which is being used to avail the offer. Max discount per user in a calendar month is INR 800 Minimum 2 tickets needs to be booked in a single transaction to avail the offer Offer is valid on all days of the week Offer is valid only on Movie bookings Offer valid till 31st March 2025","https://in.bookmyshow.com/offers/idfc-first-bank-ashva-credit-card-offer/IDFCC08241"
bms,"IDFC FIRST Bank Mayura Credit Card","Buy One ticket and Get One Free upto INR500","31-Mar-2025 23:59","N/A","Web & App","This offer is valid on all days and can be availed twice per card user in a calendar month on Movies. The customer will get a max discount upto INR500 on max 1 ticket in a single transaction. 2 discounted transactions in a month per card per user for IDFC FIRST Bank Mayura Credit Cards. In case the price of ticket is more than INR500, the difference amount shall be paid by the cardholder which is being used to avail the offer. Max discount per user in a calendar month is INR 1000 Minimum 2 tickets needs to be booked in a single transaction to avail the offer Offer is valid on all days of the week Offer is valid only on Movie bookings Offer valid till 31st March 2025","https://in.bookmyshow.com/offers/idfc-first-bank-mayura-credit-card-offer/IDFCC08242"
bms,"RBL Bank Platinum Maxima, RBL Bank Titanium Delight, RBL Bank MoneyTap, RBL Bank Icon, RBL ET Money LoanPass, RBL vCards and RBL Payed Cards, Platinum ShopSmart SuperCard","Buy One & Get One free","31-Oct-2024 23:59","Limited","Web & App","RBL Bank Titanium, LoanPass, and RBL vCards cardholders can book tickets throughout the week but only for shows on Wednesday RBL ET Money & Money tap cardholders can book tickets throughout the week for shows on Saturday and Sunday only RBL Bank Platinum Maxima, Icon and Payed Credit card cardholders can avail the offer throughout the week Get Flat Rs 500 off in a month on movie tickets with RBL Bank Insignia and Club concierge Credit Card. 10% off on movie tickets up to Rs. 300 per transaction with RBL Bank Fun+, Movies & More, Blockbuster, Money Tap Black & SaveMax and SaveMax Pro Credit Cards.","https://in.bookmyshow.com/offers/rbl-bank-credit-card-movie-offer/RBL0614"
bms,"SimplyCLICK SBI Credit Card","Get 10 Reward Points on every INR 100 spent","31-Dec-2024 23:59","No Quota","Web & App","This offer is valid on every BookMyShow transaction done using SimplyCLICK SBI Card","https://in.bookmyshow.com/offers/simplyclick-sbi-card-rewards-offer/SBISIMCLIK"
bms,"RuPay Sunburn Arena Credit Card Offer","Customers transacting on BMS using RuPay Credit Card will be eligible for flat 10% Off on select Sunburn Arena","31-Oct-2024 23:59","Limited Quota","Web & App","N/A","https://in.bookmyshow.com/offers/rupay-sunburn-arena-credit-card-offer/RUPAYCC231"
bms,"HSBC Premier Mastercard Credit Card","Buy 1 ticket and get 1 free with HSBC Premier Mastercard Credit Card maximum discount upto INR 750 per free ticket","30-Sep-2024 23:59","Limited","Mobile App and Web","N/A","https://in.bookmyshow.com/offers/hsbc-premier-mastercard-credit-card-offer/HSBCP0923"
bms,"Axis Bank Olympus Credit Card","Buy One Ticket, Get One Free","31-Mar-2025 23:59","No Quotas","Web & App","Axis Bank Olympus Credit Card can avail a maximum discount of INR 650 for movies per ticket and INR 1000 for non-movies per ticket, for each free ticket that is availed under this offer","https://in.bookmyshow.com/offers/axis-bank-neo-and-indian-oil-credit-card-offer/AXSIN0324"
bms,"Visa Signature Cards & select Visa Rewards Cards","Get 50% discount up to Rs 300 on movies","31-Dec-2024 23:59","Limited","Web & App","Offer valid on minimum booking of two movie tickets Offer is valid on both credit & debit Visa Signature Cards & select Visa Rewards Cards","https://in.bookmyshow.com/offers/visa-infinite-program/VISA0224"
