"tag","Card","Offer","Valid Till","Other Conditions","link"
"easemytrip","IDBI Platinum Credit Card","Domestic Flight Discount Flat12% Up to INR 2,024","30th Sep, 2024","['Customers under this offer willget attractive discounts on Flight, Hotel and Bus bookings using IDBI Credit or Debit (Platinum/Signature) Cardwith EaseMyTrip.']","https://www.easemytrip.com/offers/idbi-bank.html"
"goibibo","BOBCARD Credit Card","10% Instant Discount (up to INR 1,500) + 3 & 6M Interest free EMI","28th Sept’24","['3M Additional Savings on EMI on 3- months tenure + Instant Discount (as per the details mentioned in the above table) on EMI transactions (on 3, 6, 9- & 12-months’ duration) using BOBCARD LTD EMI.']","https://www.goibibo.com/offers/bob-weekly-offer-flight/"
"goibibo","Canara Bank Credit Cards","Flat 12% Instant Discount (up to Rs. 1,500)","28th Sept’24 ","['Customers will get instant discount as mentioned in the table above on Canara Bank Credit Cards.']","https://www.goibibo.com/offers/canara-df/"
"goibibo","HDFC Bank Credit Card","Flat Rs 1000 Instant Discount on Domestic Flights, Min Booking Value: Rs 7500","31st Aug 2024","['Customers will get instant discount as mentioned in the table above, on HDFC Bank EasyEMI bookings on Credit and Debit cards.']","https://www.goibibo.com/offers/hdfc-bank-offer/"
"goibibo","HSBC Credit Cards","Flat 12% Instant Discount (up to Rs. 1,800)","29th Sept’24","['Customers will get instant discount as mentioned in the table above on HSBC Bank Credit Cards.']","https://www.goibibo.com/offers/hsbc-weekly-offer-flight/"
"mmt","ICICI Bank Credit Cards","FLAT 12% OFF (up to ₹1800)","30th Sep 2024","['To avail the offer, customer must enter above mention E-Coupon in the E-Coupon field.', 'This offer valid on ICICI Bank Credit Cards, Credit Cards EMI and Debit Cards only.', 'Offer will not be applicable on Business, Commercial & Corporate ICICI Bank Credit Cards', 'Offer is valid for bookings made every Monday from 0000 hours on 1st July 2024 till 2359 hours on 30th Sept 2024.', 'Offer is only valid on MakeMyTrip website, mobile site and mobile app (Android & iOS)', 'The offer is valid on 1 booking per card per calendar month using the above offer code.', 'Instant discount is calculated on base fare (excluding ancillaries, insurance, convenience fees).']","https://www.makemytrip.com/promos/df-icici-02012023.html?detail_image=no"
"mmt","Axis Bank Credit Cards","Flat 12% Instant Discount (up to Rs. 1,500)","25th Sep 2024","['To avail the offer, customer must enter E-Coupon‘MMTWEDCREDIT’in the E-Coupon field.', 'The offer is valid on Axis Bank Credit Cards.', 'The offer is also valid on Axis Bank Credit Cards EMI option.', 'Offer is valid for bookings made every Wednesday3rd July to 25th Sept 2024(Offer between 0000 Hours and 2359 Hours).', 'The offer is valid on MakeMyTrip Desktop & Mobile Website and Mobile (Android & iOS) app only.', 'The offer is valid on 1 booking per card per Wednesday using the above offer code.']","https://www.makemytrip.com/promos/df-axis-04012023.html?detail_image=no"
"mmt","AU Credit Cards","Flat 10% Instant Discount (up to ₹1200) on Domestic Flight bookings","26th Sep 2024","['To avail the offer on flights, customer must enter E-Coupon as per aforementioned table in the E-Coupon field.', 'The offer will remain valid every Thursday from11th July’24 till 26th September ’24.', 'This offer is valid on payment made through SBI Credit Cards only.', ""The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App."", 'The offer is valid once per card per category per month']","https://www.makemytrip.com/promos/sbi-offers-07012021.html?lob=df&detail_image=no"
"mmt","SBI Bank Credit Card","Flat 10% Instant Discount (up to ₹1200) on Domestic Flight bookings","26th Sep 2024","['To avail the offer on flights, customer must enter E-Coupon as per aforementioned table in the E-Coupon field.', 'The offer will remain valid every Thursday from11th July’24 till 26th September ’24.', 'This offer is valid on payment made through SBI Credit Cards only.', ""The offer is valid for bookings made on MakeMyTrip's website, Mobile site, Android & iOS App."", 'The offer is valid once per card per category per month']","https://www.makemytrip.com/promos/sbi-offers-07012021.html?lob=all&detail_image=no"
"mmt","ICICI Bank Credit Cards","Flat 15% Instant Discount ( up to Rs. 2000)","1st Jul 2024","['To avail the offer, customer must enter above mention E-Coupon in the E-Coupon field.', 'This offer valid on MakeMyTrip ICICI Bank Credit Cards and Credit Card EMI & no cost EMI only', 'Offer is valid for bookings made every Monday from 0000 hours on 1st July 2024 till 2359 hours on 30th Sept 2024.', 'The offer is valid only on MakeMyTrip Website, Android and iOS app and mobile site.', 'The offer is valid on 1 booking per card per calendar month using the above offer code.', 'Instant discount is calculated on base fare (excluding ancillaries, insurance, and convenience fees).']","https://www.makemytrip.com/promos/df-icici-mmt-02012023.html?detail_image=no"
"mmt","Kotak Signature Credit Cards","Flat 15% Instant Discount","6th Nov'24","['To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field.', 'The offer will remain valid on all Days except Mondays and Thursdays from 6th August to 6th November 2024', 'This offer is valid on all Kotak VISA Signature and Infinite Credit Cards excluding co-brand credit cards.', 'The offer is valid for bookings made on MakeMyTrip’ s website, Mobile site, Android & iOS App.', 'The instant discount offer is valid for only 1 booking per card per category per calendar month.']","https://www.makemytrip.com/promos/offers/kotak-credit-cards-df-150724.html?detail_image=no"
"mmt","Kotak Infinite Credit Cards","Flat 15% Instant Discount","6th Nov'24","['To avail the offer, customer must enter E-Coupon as per aforementioned table in the E-Coupon field.', 'The offer will remain valid on all Days except Mondays and Thursdays from 6th August to 6th November 2024', 'This offer is valid on all Kotak VISA Signature and Infinite Credit Cards excluding co-brand credit cards.', 'The offer is valid for bookings made on MakeMyTrip’ s website, Mobile site, Android & iOS App.', 'The instant discount offer is valid for only 1 booking per card per category per calendar month.']","https://www.makemytrip.com/promos/offers/kotak-credit-cards-df-150724.html?detail_image=no"
